"component","regulator","date","condition","accelerated","withdrawn","first_in_class","note","context","stage_or_status","risk_stratification","demographics","ineligibility","prior_therapy","prior_therapy_negation","prior_therapy_setting","response_contingency","time_contingency","prior_biomarker","with","biomarker","biomarker_negation","study_yn","study","string","date_added"
"Emicizumab","EMA","2018-02-23","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2018-02-23: Initial authorisation","2023-07-31"
"Emicizumab","EMA","2023-03-06","Hemophilia A",FALSE,FALSE,FALSE,"","","","without FVIII inhibitor","severe disease OR moderate disease with severe bleeding phenotype","","",NA,"","","","","","","",NA,"","2023-03-06: Indicated revised to include patients with <a href=""/w/index.php?title=Hemophilia_Aandaction=editandredlink=1"" class=""new"" title=""Hemophilia A (page does not exist)"">haemophilia A (congenital factor VIII deficiency)</a> without factor VIII inhibitors who have severe disease (FVIII &lt; 1%) or moderate disease (FVIII at least 1% and up to 5%) with severe bleeding phenotype. Hemlibra can be used in all age groups.","2023-07-31"
"Emicizumab","EMA","Uncertain date","Hemophilia A",FALSE,FALSE,FALSE,"","","with factor VIII inhibitor","","","","",NA,"","","","","","","",NA,"","Uncertain date: Hemlibra is indicated for routine prophylaxis of bleeding episodes in patients with <a href=""/w/index.php?title=Hemophilia_Aandaction=editandredlink=1"" class=""new"" title=""Hemophilia A (page does not exist)"">haemophilia A (congenital factor VIII deficiency)</a> with factor VIII inhibitors. Hemlibra can be used in all age groups.","2023-07-31"
"Emicizumab","FDA","2017-11-16","Hemophilia A",FALSE,FALSE,TRUE,"","","","","","","",NA,"","","","","","","",NA,"","2017-11-16: Approved for routine prophylaxis to prevent or reduce the frequency of bleeding episodes in adult and pediatric patients with <a href=""/w/index.php?title=Hemophilia_Aandaction=editandredlink=1"" class=""new"" title=""Hemophilia A (page does not exist)"">hemophilia A (congenital factor VIII deficiency) with factor VIII inhibitors</a>.","2023-07-31"
"Emicizumab","FDA","2018-10-04","Hemophilia A",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2018-10-04: Approval expanded for prophylaxis to prevent or reduce the frequency of bleeding episodes in adult and pediatric patients (ages newborn and older) with <a href=""/w/index.php?title=Hemophilia_Aandaction=editandredlink=1"" class=""new"" title=""Hemophilia A (page does not exist)"">hemophilia A (congenital factor VIII deficiency) with or without factor VIII (FVIII) inhibitors</a>. (<i>requirement for inhibitor to be present was removed</i>)","2023-07-31"
"Emicizumab","PMDA","2022-06-20","Acquired hemophilia A",FALSE,FALSE,FALSE,"","","","","","","",NA,"","","","","","","",NA,"","2022-06-20: Drugs with a new indication and a new dosage for the control of bleeding tendency in patients with <a href=""/wiki/Acquired_hemophilia_A"" title=""Acquired hemophilia A"">acquired hemophilia A</a>.","2023-06-16"
"Enasidenib","FDA","2017-08-01","Acute myeloid leukemia",FALSE,FALSE,TRUE,"","","Relapsed or refractory","","adults","","",NA,"","","","","","IDH2 mutation","FALSE",TRUE,"AG-221-C-001 relapsed","2017-08-01: Granted <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm569482.htm"">FDA regular approval</a> for the treatment of adult patients with relapsed or refractory <a href=""/wiki/Acute_myeloid_leukemia"" title=""Acute myeloid leukemia"">acute myeloid leukemia</a> with an <a href=""/wiki/Biomarkers#IDH2"" title=""Biomarkers"">isocitrate dehydrogenase-2 (IDH2)</a> <a href=""/wiki/Biomarkers#Alterations"" title=""Biomarkers"">mutation</a> as detected by an FDA-approved test. <i>(Based on AG-221-C-001 relapsed)</i>","2022-09-05"
"Enasidenib","HC","2019-02-06","Acute myeloid leukemia",TRUE,FALSE,FALSE,"","","Relapsed or refractory","","adults","","",NA,"","","","","","IDH2 mutation","FALSE",NA,"","2019-02-06: Initial notice of compliance with conditions for the treatment of adult patients with relapsed or refractory <a href=""/wiki/Acute_myeloid_leukemia"" title=""Acute myeloid leukemia"">Acute Myeloid Leukemia (AML)</a> with an isocitrate dehydrogenase-2 IDH2 mutation.","2023-05-08"
"Encorafenib","EMA","2018-09-19","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2018-09-19: Iniital authorization","2023-05-08"
"Encorafenib","FDA","2018-06-27","Melanoma",FALSE,FALSE,FALSE,"","","Unresectable OR Metastatic","","","","",NA,"","","","","Binimetinib","BRAF p.V600E|BRAF p.V600K","FALSE",TRUE,"COLUMBUS","2018-06-27: Initial approval in combination with <a href=""/wiki/Binimetinib_(Mektovi)"" title=""Binimetinib (Mektovi)"">Binimetinib (Mektovi)</a> for patients with unresectable or metastatic <a href=""/wiki/Melanoma"" title=""Melanoma"">melanoma</a> with a <a href=""/wiki/Biomarkers#BRAF"" title=""Biomarkers"">BRAF</a> <a href=""/wiki/Biomarkers#V600E"" title=""Biomarkers"">V600E</a> or <a href=""/wiki/Biomarkers#V600K"" title=""Biomarkers"">V600K mutation</a>, as detected by an FDA-approved test. <i>(Based on COLUMBUS)</i>","2022-09-05"
"Encorafenib","FDA","2020-04-09","Colorectal cancer",FALSE,FALSE,FALSE,"","","Metastatic","","adults","","1+","FALSE","","","","","Cetuximab","BRAF p.V600E","FALSE",TRUE,"BEACON CRC","2020-04-09: Approved in combination with cetuximab for the treatment of adult patients with metastatic <a href=""/wiki/Colorectal_cancer"" title=""Colorectal cancer"">colorectal cancer (CRC)</a> with a <a href=""/wiki/Biomarkers#BRAF"" title=""Biomarkers"">BRAF</a> <a href=""/wiki/Biomarkers#V600E"" title=""Biomarkers"">V600E mutation</a>, detected by an FDA-approved test, after prior therapy. <i>(Based on BEACON CRC)</i>","2022-09-05"
"Encorafenib","FDA","2023-10-11","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","adults","","",NA,"","","","","Binimetinib","BRAF p.V600E","FALSE",TRUE,"PHAROS","2023-10-11: Approved with <a href=""/wiki/Binimetinib_(Mektovi)"" title=""Binimetinib (Mektovi)"">Binimetinib (Mektovi)</a> for adult patients with metastatic <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> with a BRAF V600E mutation, as detected by an FDA-approved test. <i>(Based on PHAROS)</i>","2023-11-07"
"Encorafenib","HC","2021-03-02","Melanoma",FALSE,FALSE,FALSE,"","","Unresectable OR Metastatic","","adults","","",NA,"","","","","Binimetinib","BRAF p.V600","",NA,"","2021-03-02: Initial notice of compliance for use in combination with binimetinib for the treatment of adult patients with unresectable or metastatic <a href=""/wiki/Melanoma"" title=""Melanoma"">melanoma</a> with a BRAF V600 mutation, as detected by a validated test.","2023-05-20"
"Encorafenib","PMDA","2019-01-08","Melanoma",FALSE,FALSE,FALSE,"","","Unresectable","","","","",NA,"","","","","","BRAF mutation","FALSE",NA,"","2019-01-08: New approval for the treatment of unresectable <a href=""/wiki/Melanoma"" title=""Melanoma"">melanoma</a> with BRAF gene mutation.","2023-06-16"
"Encorafenib","PMDA","2020-11-27","Colorectal cancer",FALSE,FALSE,FALSE,"","","Unresectable advanced OR Recurrent","","","","Chemotherapy","FALSE","","progression","","","","BRAF mutation","FALSE",NA,"","2020-11-27: New indication and a new dosage for the treatment of unresectable, advanced or recurrent BRAF mutation-positive <a href=""/wiki/Colorectal_cancer"" title=""Colorectal cancer"">colorectal cancer</a> that has progressed after cancer chemotherapy.","2023-06-16"
"Enfortumab vedotin","EMA","2022-04-13","Urothelial carcinoma",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","adults","","Platinum-based regimen AND (anti-PD-1 antibody OR anti-PD-L1 antibody)","FALSE","","","","","0","","",NA,"","2022-04-13: Initial authorization as monotherapy for the treatment of adult patients with locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial cancer</a> who have previously received a platinum-containing chemotherapy and a programmed death receptor 1 or programmed death ligand 1 inhibitor.","2023-05-08"
"Enfortumab vedotin","FDA","2019-12-18","Urothelial carcinoma",TRUE,FALSE,TRUE,"","","Locally advanced OR Metastatic","","adults","","(anti-PD-1 antibody OR anti-PD-L1 antibody) AND Platinum-based regimen","FALSE","Any","","","","","","",TRUE,"EV-201","2019-12-18: Granted accelerated approval for adult patients with locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial cancer</a> who have previously received a programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor, and a <a href=""/wiki/Regimen_classes#Platinum-based_regimen"" title=""Regimen classes"">platinum-containing chemotherapy</a> in the neoadjuvant/adjuvant, locally advanced or metastatic setting. <i>(Based on EV-201)</i>","2022-09-05"
"Enfortumab vedotin","FDA","2021-07-09","Urothelial carcinoma",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","adults","","(anti-PD-1 antibody OR anti-PD-L1 antibody) AND Platinum-based regimen","FALSE","","","","","","","",TRUE,"EV-301","2021-07-09: Regular approval for adult patients with locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial cancer</a> who have previously received a programmed death receptor-1 (PD-1) or programmed death-ligand (PD-L1) inhibitor and platinum-containing chemotherapy. <i>(Based on EV-301)</i>","2022-09-05"
"Enfortumab vedotin","FDA","2021-07-09","Urothelial carcinoma",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","adults","ineligible for cisplatin-containing chemotherapy","1+","FALSE","","","","","","","",TRUE,"EV-301","2021-07-09: Regular approval for adult patients with locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial cancer</a> who are ineligible for cisplatin-containing chemotherapy and have previously received one or more prior lines of therapy. <i>(Based on EV-301)</i>","2022-09-05"
"Enfortumab vedotin","FDA","2023-04-03","Urothelial carcinoma",TRUE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","","Ineligible for cisplatin-containing chemotherapy","",NA,"","","","","Pembrolizumab","","",TRUE,"EV-103","2023-04-03: Granted accelerated approval with pembrolizumab for patients with locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial carcinoma</a> who are ineligible for cisplatin-containing chemotherapy. <i>(Based on EV-103)</i>","2023-04-21"
"Enfortumab vedotin","FDA","2023-12-15","Urothelial carcinoma",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","","","",NA,"","","","","Pembrolizumab","","",TRUE,"EV-302","2023-12-15: Approved in combination with pembrolizumab (Keytruda, Merck) for patients with locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial cancer</a> (la/mUC). <i>(Based on EV-302)</i>","2024-01-06"
"Enfortumab vedotin","HC","2021-10-29","Urothelial carcinoma",FALSE,FALSE,FALSE,"","","Unresectable locally advanced OR Metastatic","","adults","","Platinum-based regimen AND (anti-PD-1 antibody OR anti-PD-L1 antibody)","FALSE","","","","","","","",NA,"","2021-10-29: Initial notice of compliance for the treatment of adult patients with unresectable locally advanced or metastatic <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial cancer</a> who have previously received a platinum-containing chemotherapy and programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor therapy.","2023-05-20"
"Enfortumab vedotin","PMDA","2021-09-27","Urothelial carcinoma",FALSE,FALSE,FALSE,"","","Unresectable","","","","Chemotherapy","FALSE","","progression","","","","","",NA,"","2021-09-27: Newly indicated for the treatment of unresectable <a href=""/wiki/Urothelial_carcinoma"" title=""Urothelial carcinoma"">urothelial carcinoma</a> that has progressed after cancer chemotherapy.","2023-06-16"
"Enoxaparin","FDA","1993-03-29","Venous thromboembolism",FALSE,FALSE,TRUE,"","","","","","","",NA,"","","","","","","",NA,"","1993-03-29: Initial FDA approval: prevention of DVT following hip replacement","2022-09-05"
"Ensartinib","NMPA","2020-11-17","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","Second-line","","","","","Crizotinib","FALSE","","Progression OR Intolerance","","","","ALK rearrangement","FALSE",TRUE,"X396-CLI-101","2020-11-17: Initial approval for the second-line treatment of ALK-positive <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">NSCLC</a> after progression or intolerance of crizotinib. <i>(Based on X396-CLI-101)</i>","2023-05-08"
"Ensartinib","NMPA","2023-03-22","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","First-line","","","","","",NA,"","","","","","ALK rearrangement","FALSE",TRUE,"eXalt3","2022-03: Approved for the first-line treatment of ALK-positive <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a>. <i>(Based on eXalt3)</i>","2023-05-08"
"Entrectinib","EMA","2020-07-31","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Advanced","","adults","","ROS1 inhibitor","TRUE","","","","","0","ROS1 rearrangement","",NA,"","2020-07-31: Rozlytrek as monotherapy is indicated for the treatment of adult patients with ROS1-positive, advanced <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> not previously treated with ROS1 inhibitors.","2023-11-07"
"Entrectinib","EMA","2020-07-31","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","","Locally advanced OR Metastatic OR surgical resection is likely to result in severe morbidity","","adults AND pediatric patients 12 years and older","satisfactory treatment options","0 NTRK inhibitor",NA,"","","","","0","NTRK rearrangement","",NA,"","2020-07-31: Initial conditional authorization as Rozlytrek. Rozlytrek as monotherapy is indicated for the treatment of adult and paediatric patients 12 years of age and older, with <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumours</a> expressing a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, who have a disease that is locally advanced, metastatic or where surgical resection is likely to result in severe morbidity, and who have not received a prior NTRK inhibitor and who have no satisfactory treatment options.","2023-11-07"
"Entrectinib","FDA","2019-08-15","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","adults","","",NA,"","","","","","ROS1 rearrangement","FALSE",TRUE,"ALKA-372-001","2019-08-15: Approved for adults with metastatic <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors are <a href=""/wiki/Biomarkers#ROS1"" title=""Biomarkers"">ROS1</a>-<a href=""/wiki/Biomarkers#Rearrangement"" title=""Biomarkers"">positive</a>. <i>(Based on ALKA-372-001, STARTRK-1, and STARTRK-2)</i>","2022-09-05"
"Entrectinib","FDA","2019-08-15","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","adults","","",NA,"","","","","","ROS1 rearrangement","FALSE",TRUE,"STARTRK-1","2019-08-15: Approved for adults with metastatic <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors are <a href=""/wiki/Biomarkers#ROS1"" title=""Biomarkers"">ROS1</a>-<a href=""/wiki/Biomarkers#Rearrangement"" title=""Biomarkers"">positive</a>. <i>(Based on ALKA-372-001, STARTRK-1, and STARTRK-2)</i>","2022-09-05"
"Entrectinib","FDA","2019-08-15","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","adults","","",NA,"","","","","","ROS1 rearrangement","FALSE",TRUE,"STARTRK-2","2019-08-15: Approved for adults with metastatic <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors are <a href=""/wiki/Biomarkers#ROS1"" title=""Biomarkers"">ROS1</a>-<a href=""/wiki/Biomarkers#Rearrangement"" title=""Biomarkers"">positive</a>. <i>(Based on ALKA-372-001, STARTRK-1, and STARTRK-2)</i>","2022-09-05"
"Entrectinib","FDA","2019-08-15","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","Metastatic OR surgical resection is likely to result in severe morbidity","","","adults AND pediatric patients 12 years and older","","1+ OR no satisfactory standard therapy","FALSE","","","","","","NTRK rearrangement without a known resistance mutation","FALSE",TRUE,"ALKA-372-001","2019-08-15: Granted accelerated approval for adults and pediatric patients 12 years of age and older with <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumors</a> that have a <a href=""/wiki/Biomarkers#NTRK"" title=""Biomarkers"">neurotrophic tyrosine receptor kinase (NTRK) gene</a> <a href=""/wiki/Biomarkers#Rearrangement"" title=""Biomarkers"">fusion</a> without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory standard therapy. <i>(Based on ALKA-372-001, STARTRK-1, and STARTRK-2)</i>","2022-09-05"
"Entrectinib","FDA","2019-08-15","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","Metastatic OR surgical resection is likely to result in severe morbidity","","","adults AND pediatric patients 12 years and older","","1+ OR no satisfactory standard therapy","FALSE","","","","","","NTRK rearrangement without a known resistance mutation","FALSE",TRUE,"STARTRK-1","2019-08-15: Granted accelerated approval for adults and pediatric patients 12 years of age and older with <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumors</a> that have a <a href=""/wiki/Biomarkers#NTRK"" title=""Biomarkers"">neurotrophic tyrosine receptor kinase (NTRK) gene</a> <a href=""/wiki/Biomarkers#Rearrangement"" title=""Biomarkers"">fusion</a> without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory standard therapy. <i>(Based on ALKA-372-001, STARTRK-1, and STARTRK-2)</i>","2022-09-05"
"Entrectinib","FDA","2019-08-15","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","Metastatic OR surgical resection is likely to result in severe morbidity","","","adults AND pediatric patients 12 years and older","","1+ OR no satisfactory standard therapy","FALSE","","","","","","NTRK rearrangement without a known resistance mutation","FALSE",TRUE,"STARTRK-2","2019-08-15: Granted accelerated approval for adults and pediatric patients 12 years of age and older with <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumors</a> that have a <a href=""/wiki/Biomarkers#NTRK"" title=""Biomarkers"">neurotrophic tyrosine receptor kinase (NTRK) gene</a> <a href=""/wiki/Biomarkers#Rearrangement"" title=""Biomarkers"">fusion</a> without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory standard therapy. <i>(Based on ALKA-372-001, STARTRK-1, and STARTRK-2)</i>","2022-09-05"
"Entrectinib","FDA","2023-10-20","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","","Metastatic|Surgical resection likely to result in severe morbidity","","pediatric aged 1 month or older","","1+ OR no satisfactory standard therapy","FALSE","","Progression|NA","","","","NTRK rearrangement without a known acquired resistance mutation","FALSE",TRUE,"STARTRK-NG","2023-10-20: Granted accelerated approval for pediatric patients older than 1 month with <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumors</a> that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory standard therapy. <i>(Based on STARTRK-NG and TAPISTRY)</i>","2023-11-07"
"Entrectinib","FDA","2023-10-20","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","","Metastatic|Surgical resection likely to result in severe morbidity","","pediatric aged 1 month or older","","1+ OR no satisfactory standard therapy","FALSE","","Progression|NA","","","","NTRK rearrangement without a known acquired resistance mutation","FALSE",TRUE,"TAPISTRY","2023-10-20: Granted accelerated approval for pediatric patients older than 1 month with <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumors</a> that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory standard therapy. <i>(Based on STARTRK-NG and TAPISTRY)</i>","2023-11-07"
"Entrectinib","HC","2020-02-10","Malignant solid neoplasm NTRK-mutated",TRUE,FALSE,FALSE,"","no satisfactory alternative treatment options","Unresectable locally advanced OR Metastatic","","adults","","",NA,"","","","","","NTRK rearrangement without a known resistance mutation","FALSE",NA,"","2020-02-10: Initial notice of compliance with conditions for the treatment of adult patients with unresectable locally advanced or metastatic extracranial <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumours</a>, including brain metastases, that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation, and with no satisfactory treatment options.","2023-05-08"
"Entrectinib","PMDA","2019-06-18","Malignant solid neoplasm NTRK-mutated",FALSE,FALSE,FALSE,"","","Advanced OR Recurrent","","","","",NA,"","","","","","NTRK rearrangement","FALSE",NA,"","2019-06-18: Newly indicated for the treatment of NTRK fusion gene positive advanced or recurrent <a href=""/wiki/Malignant_solid_neoplasm,_NTRK-mutated"" title=""Malignant solid neoplasm, NTRK-mutated"">solid tumours</a>.","2023-06-16"
"Entrectinib","PMDA","2020-02-21","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Unresectable advanced OR Recurrent","","","","",NA,"","","","","","ROS1 rearrangement","FALSE",NA,"","2020-02-21: New indication and a new dosage for the treatment of ROS1 fusion gene-positive unresectable advanced or recurrent <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer</a>.","2023-06-16"
"Envafolimab","NMPA","2021-11-26","Malignant solid neoplasm",FALSE,FALSE,FALSE,"","no satisfactory alternative treatment options","Advanced","","adults","","1+","FALSE","","progression","","","","MSI-H|dMMR","FALSE",NA,"","2021-11-26: Approved for adult patients with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) advanced <a href=""/wiki/Category:Malignant_solid_neoplasm"" title=""Category:Malignant solid neoplasm"">solid tumors</a> who have experienced disease progression following prior treatment and have no satisfactory alternative treatment options.","2023-07-31"
"Envafolimab","NMPA","2021-11-26","Colorectal cancer",FALSE,FALSE,FALSE,"","","Advanced","","adults","","Fluoropyrimidine-based regimen AND Oxaliplatin-based regimen AND Irinotecan-based regimen","FALSE","","progression","","","","MSI-H|dMMR","FALSE",NA,"","2021-11-26: Approved for adult patients with microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) advanced <a href=""/wiki/Colorectal_cancer"" title=""Colorectal cancer"">colorectal cancer</a> who have experienced disease progression following fluoropyrimidine-, oxaliplatin-, and irinotecan-containing chemotherapy regimens.","2023-07-31"
"Enzalutamide","EMA","2013-06-21","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","adult men","","Docetaxel",NA,"","progression","","","","","",TRUE,"AFFIRM","2013-06-21: Initial marketing authorization as Xtandi. Xtandi is indicated for the treatment of adult men with metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> whose disease has progressed on or after docetaxel therapy. <i>(Based on AFFIRM)</i>","2023-09-17"
"Enzalutamide","EMA","2014-11-28","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","asymptomatic or mildly symptomatic","adult men","chemotherapy is not yet clinically indicated","ADT",NA,"","Failure","","","","","",NA,"","2014-11-28: Extension of indication for the treatment of adult men with metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated.","2023-09-17"
"Enzalutamide","EMA","2018-10-23","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Non-metastatic","high-risk","adult men","","",NA,"","","","","","","",NA,"","2018-10-23: Extension of Indication to include adult men with high-risk non-metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (CRPC).","2023-09-17"
"Enzalutamide","EMA","2021-04-30","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Metastatic","","adult men","","",NA,"","","","","ADT","","",TRUE,"ARCHES","2021-04-30: Extension of Indication to include the treatment of adult men with metastatic hormonesensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mHSPC) for Xtandi in combination with androgen deprivation therapy. <i>(Based on ARCHES)</i>","2023-09-17"
"Enzalutamide","FDA","2012-08-31","Prostate cancer",FALSE,FALSE,TRUE,"","Castrate-resistant","Metastatic","","","","Docetaxel","FALSE","","","","","","","",TRUE,"AFFIRM","2012-08-31: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/drugs/informationondrugs/approveddrugs/ucm317997.htm"">Initial approval</a> for the treatment of patients with metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> who have previously received <a href=""/wiki/Docetaxel_(Taxotere)"" title=""Docetaxel (Taxotere)"">docetaxel</a>. <i>(Based on AFFIRM)</i>","2022-09-05"
"Enzalutamide","FDA","2014-09-10","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","","","",NA,"","","","","","","",TRUE,"PREVAIL","2014-09-10: Approved for the treatment of patients with metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mCRPC). <i>(No longer needs to be after docetaxel; based on PREVAIL and TERRAIN)</i>","2022-09-05"
"Enzalutamide","FDA","2014-09-10","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","","","",NA,"","","","","","","",TRUE,"TERRAIN","2014-09-10: Approved for the treatment of patients with metastatic castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mCRPC). <i>(No longer needs to be after docetaxel; based on PREVAIL and TERRAIN)</i>","2022-09-05"
"Enzalutamide","FDA","2018-07-13","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","","","","","",NA,"","","","","","","",TRUE,"PROSPER_PrCA","2018-07-13: Approved for patients with <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">castration-resistant prostate cancer (CRPC)</a>. <i>(No longer needs to be metatstatic; based on PROSPER_PrCA)</i>","2022-09-05"
"Enzalutamide","FDA","2019-12-16","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Metastatic","","","","",NA,"","","","","","","",TRUE,"ARCHES","2019-12-16: Approved for patients with metastatic castration-sensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mCSPC). <i>(No longer needs to be castration-resistant, if metastatic; based on ARCHES)</i>","2022-09-05"
"Enzalutamide","FDA","2023-11-16","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Non-metastatic with biochemical recurrence","High risk for metastasis","","","",NA,"","","","","","","",TRUE,"EMBARK","2023-11-16: Approved for non-metastatic castration-sensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (nmCSPC) with biochemical recurrence at high risk for metastasis (high-risk BCR). <i>(No longer needs to be castration-resistant; based on EMBARK)</i>","2024-01-06"
"Enzalutamide","HC","2013-05-29","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2013-05-29: Initial notice of compliance","2023-05-08"
